code_id,comment,sentiment_category,class7_label_vt,annotation_1,annotation_2
2456,"As someone undergoing dialysis, I feel that medical support helps me stay hopeful, despite the challenges involved.",moderate joy,mild joy,mild joy,moderate joy 
16147,"Living with dialysis has shown me that the illness weighs heavily on both my body and my mind, as part of my ongoing health journey.",moderate sadness,mild sadness,moderate sadness,deep sadness
20118,"Since I started dialysis, I have learned that the constant medical routine can be emotionally overwhelming, while adjusting to this long-term condition.",mild sadness,neutral,mild sadness,deep sadness
19248,"Being treated with dialysis has made me realize that the physical fatigue often turns into emotional exhaustion, despite the challenges involved.",mild sadness,neutral,deep sadness,moderate sadness
15706,"Being treated with dialysis has made me realize that the physical fatigue often turns into emotional exhaustion, while adjusting to this long-term condition.",moderate sadness,mild sadness,mild sadness,mild sadness 
17332,"Being treated with dialysis has made me realize that dialysis has become part of my regular routine, even when the process feels demanding.",neutral,moderate joy,neutral,neutral
18432,"Since I started dialysis, I have learned that medical support helps me stay hopeful, despite the challenges involved.",neutral,moderate joy,moderate joy,mild joy
22311,"My experience as a dialysis patient tells me that the burden of treatment affects my sense of stability, as part of my ongoing health journey.",moderate sadness,moderate sadness,moderate sadness,deep sadness
22533,"Being treated with dialysis has made me realize that dialysis gives me reassurance despite the difficulties, while adjusting to this long-term condition.",high joy,high joy,high joy,moderate joy 
6767,"Being treated with dialysis has made me realize that the physical fatigue often turns into emotional exhaustion, even when the process feels demanding.",moderate sadness,mild sadness,mild sadness,deep sadness
13271,"Being treated with dialysis has made me realize that the illness weighs heavily on both my body and my mind, while adjusting to this long-term condition.",neutral,moderate joy,deep sadness,deep sadness
1531,"Being treated with dialysis has made me realize that dialysis gives me reassurance despite the difficulties, despite the challenges involved.",high joy,high joy,high joy,moderate joy 
21502,"Aoa, me Pakistan SE hoon, mujhe peritoneal diaalysis baray maloomaat chahiye",mild sadness,neutral,neutral,neutral
5536,"Living with dialysis has shown me that the treatment allows me to maintain balance in my life, even when the process feels demanding.",high joy,high joy,high joy,moderate joy 
